,precision,recall,f1-score,support
B cell,1.0000,0.6000,0.7500,5.0000
Schwann cell,0.8759,0.8089,0.8411,157.0000
Schwann cell precursor,0.9336,0.9555,0.9444,427.0000
arachnoid barrier cell,0.9079,0.5847,0.7113,118.0000
capillary endothelial cell,0.8885,0.9541,0.9201,501.0000
chondrocyte,0.9239,0.9551,0.9392,89.0000
choroid plexus epithelial cell,0.9576,0.9390,0.9482,1033.0000
choroid plexus macrophage,0.6667,0.1818,0.2857,55.0000
common myeloid progenitor,0.7500,0.7500,0.7500,4.0000
dendritic cell,0.8103,0.9038,0.8545,52.0000
embryonic blood vessel endothelial progenitor cell,0.9265,0.7826,0.8485,161.0000
endothelial cell,0.9259,0.4237,0.5814,59.0000
endothelial cell of arteriole,0.8519,0.6765,0.7541,68.0000
endothelial cell of artery,0.9563,0.9943,0.9749,176.0000
epithelial cell,0.9086,0.9170,0.9128,542.0000
erythroblast,0.9390,0.9754,0.9569,2808.0000
erythroid progenitor cell,0.9425,0.9128,0.9274,1238.0000
fibroblast,0.8451,0.7793,0.8109,861.0000
fibroblast of choroid plexus,0.9207,0.9247,0.9227,1168.0000
fibrocyte,0.0000,0.0000,0.0000,9.0000
forebrain neuroblast,1.0000,0.6500,0.7879,20.0000
forebrain radial glial cell,0.9643,0.9643,0.9643,112.0000
glioblast (sensu Vertebrata),0.9070,0.8478,0.8764,92.0000
innate lymphoid cell,1.0000,0.9333,0.9655,15.0000
interneuron,0.8077,0.9130,0.8571,46.0000
leptomeningeal cell,0.9265,0.9488,0.9375,7701.0000
mast cell,1.0000,0.9286,0.9630,14.0000
mechanoreceptor cell,1.0000,1.0000,1.0000,10.0000
megakaryocyte,0.9000,0.9474,0.9231,19.0000
meningeal macrophage,0.9593,0.8010,0.8730,206.0000
mesenchymal cell,0.8775,0.8936,0.8855,3431.0000
mesenchyme condensation cell,0.8951,0.8833,0.8891,454.0000
mesothelial cell of dura mater,0.9623,0.9533,0.9577,107.0000
metamyelocyte,1.0000,0.9268,0.9620,41.0000
microglial cell,0.9730,0.8675,0.9172,83.0000
monocyte,0.9020,0.7380,0.8118,187.0000
mucosa-associated lymphoid tissue macrophage,0.8724,0.9718,0.9194,922.0000
natural killer cell,0.9474,1.0000,0.9730,18.0000
neural crest cell,0.8727,0.7059,0.7805,68.0000
neural progenitor cell,0.9072,0.9328,0.9198,744.0000
neuroblast (sensu Vertebrata),0.9259,0.9485,0.9371,369.0000
neuron,0.8629,0.9304,0.8954,115.0000
neuronal-restricted precursor,0.9012,0.8939,0.8975,245.0000
oligodendrocyte precursor cell,1.0000,0.2500,0.4000,8.0000
pericyte,0.8645,0.9124,0.8878,776.0000
perivascular cell,0.7253,0.5294,0.6121,374.0000
perivascular macrophage,0.0000,0.0000,0.0000,3.0000
pinealocyte,0.8951,0.9477,0.9206,153.0000
platelet,1.0000,0.6667,0.8000,9.0000
promyelocyte,0.8421,0.9412,0.8889,17.0000
radial glial cell,0.9372,0.8818,0.9086,203.0000
reticulocyte,0.9886,0.9558,0.9719,1901.0000
retinal cell,1.0000,0.4000,0.5714,5.0000
retinal ganglion cell,1.0000,0.8750,0.9333,16.0000
smooth muscle cell,0.9314,0.7884,0.8539,241.0000
spinal cord radial glial cell,0.0000,0.0000,0.0000,2.0000
tip cell,0.8571,0.8750,0.8660,96.0000
vein endothelial cell,0.7368,0.8750,0.8000,64.0000
accuracy,0.9157,0.9157,0.9157,0.9157
macro avg,0.8633,0.7844,0.8094,28418.0000
weighted avg,0.9147,0.9157,0.9137,28418.0000
